host,method,path,requests_times_production
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/syncGps,77340715
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/orderPackage/list,49024456
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/index,38867285
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/index,33789458
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/onlineRewardShow,32046701
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/deliveringNum,25278450
app-uk.hungrypanda.co,POST,/api/app/user/index/polling,12159025
app-uk.hungrypanda.co,POST,/api/app/user/message/polling,9907614
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/noviceRewardShow,8070642
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/home/syncGps,6738676
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/homePopup,5179739
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/index,4352049
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/home/index,3389134
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/orderPackage/list,2977878
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/home/onlineRewardShow,2831039
app-uk.hungrypanda.co,POST,/api/user/v1/launchAd/pull,2551960
app-uk.hungrypanda.co,POST,/api/app/user/v1/device/save,2360744
app-uk.hungrypanda.co,GET,/api/app/user/order/tip,2101508
app-uk.hungrypanda.co,GET,/api/app/user/order/driver,1895688
app-uk.hungrypanda.co,POST,/api/app/user/order/banner,1840331
app-uk.hungrypanda.co,POST,/api/app/user/order/info/after,1837442
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/order/deliveringNum,1623291
app-uk.hungrypanda.co,POST,/api/app/user/itemKey/show,1586353
app-uk.hungrypanda.co,POST,/api/app/user/order/v3/shoppingCart,1572430
app-uk.hungrypanda.co,POST,/api/app/user/payment/v2/checkOut/paymentPattern,1485103
app-uk.hungrypanda.co,POST,/api/app/user/getProperties,1443401
app-uk.hungrypanda.co,GET,/api/app/user/order/details,1298275
app-uk.hungrypanda.co,POST,/api/app/user/suggest/search,1209870
app-uk.hungrypanda.co,POST,/api/app/user/panda/league/channel/module,1056536
app-eur.hungrypanda.co,POST,/api/app/user/index/polling,1039046
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/popup,1008693
app-uk.hungrypanda.co,POST,/api/app/user/risk/v1/geeToken,997680
app-uk.hungrypanda.co,POST,/api/app/user/invite/config/enter,969374
app-uk.hungrypanda.co,POST,/api/user/sensors/sync/properties,948533
app-uk.hungrypanda.co,POST,/api/user/index/operateModuleList,942936
app-uk.hungrypanda.co,GET,/api/user/supermarket/getHpfConfig,940335
app-uk.hungrypanda.co,POST,/api/app/user/reissue/list/rule,925925
app-uk.hungrypanda.co,POST,/api/user/shop/redPacket,925296
app-uk.hungrypanda.co,POST,/api/app/user/theme/product/index,914785
app-uk.hungrypanda.co,POST,/api/app/user/theme/redPacket/shop/list,914744
app-uk.hungrypanda.co,POST,/api/app/user/theme/shippingChannel/shop/list,914743
app-uk.hungrypanda.co,POST,/api/user/activity/specials/card,914698
app-uk.hungrypanda.co,POST,/api/user/v1/getShopProductsForNewUser,914674
app-uk.hungrypanda.co,POST,/api/app/user/theme/commonChannel/shop/list,914664
app-uk.hungrypanda.co,POST,/api/app/user/v1/shop/menuList,898692
app-uk.hungrypanda.co,POST,/api/app/user/shop/promotion,898070
app-uk.hungrypanda.co,POST,/api/user/redPacket/getCollectionOrder,893659
app-uk.hungrypanda.co,POST,/api/user/voucher/shop/index/voucher,863098
app-uk.hungrypanda.co,POST,/api/app/user/shop/base/info,861942
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/waitPickUpList,855287
app-uk.hungrypanda.co,POST,/api/user/sendSensorsdataUserInfo,845810
app-uk.hungrypanda.co,POST,/api/app/user/combined/order/shopDisplay,842842
app-uk.hungrypanda.co,POST,/api/user/v2/index/shopList,838416
app-uk.hungrypanda.co,POST,/api/app/user/index/config,816677
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/newOrderList,776498
app-eur.hungrypanda.co,POST,/api/app/user/message/polling,760923
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/home/noviceRewardShow,713541
app-uk.hungrypanda.co,GET,/api/user/popup,658345
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/driver/driverInfo,628402
app-uk.hungrypanda.co,POST,/api/app/user/experimentalGroup/config,625359
app-uk.hungrypanda.co,POST,/api/app/user/order/imdata,616467
app-uk.hungrypanda.co,POST,/api/app/user/location/change/notice,597941
app-uk.hungrypanda.co,POST,/api/app/user/index/broadcast,596477
app-uk.hungrypanda.co,POST,/api/app/user/reissue/list/all/rule,541068
app-uk.hungrypanda.co,POST,/api/app/user/message/entry,538861
app-uk.hungrypanda.co,GET,/api/user/supermarket,528172
app-uk.hungrypanda.co,POST,/api/user/entry/update,525415
app-uk.hungrypanda.co,POST,/api/app/user/im/getImToken,509331
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/order/list,486186
app-uk.hungrypanda.co,GET,/api/app/user/promote/query,473544
app-uk.hungrypanda.vip,POST,/api/app/user/itemKey/show,457967
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/waitDeliveringList,443258
fresh-api-uk.hungrypanda.co,POST,/shopcart/getShopCartList,441361
fresh-api-uk.hungrypanda.co,POST,/index/getDynamicDiscount,441295
app-uk.hungrypanda.co,GET,/api/page/update/forceUpdate,435233
app-uk.hungrypanda.co,POST,/api/app/user/product/recommend,428430
app-uk.hungrypanda.co,POST,/api/app/user/whitelist,427750
app-uk.hungrypanda.co,POST,/api/app/user/message/center,425791
app-uk.hungrypanda.co,GET,/api/user/v1/product/detail,417837
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/order/statistics,417512
fresh-api-uk.hungrypanda.co,POST,/search/searchKeywords,413926
app-uk.hungrypanda.co,POST,/api/user/v1/order/toCreateVirtual,387455
app-uk.hungrypanda.co,GET,/api/app/user/order/share,370378
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/home/homePopup,363208
app-uk.hungrypanda.co,POST,/api/app/user/interact/recommend,362123
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/modifyDeliveryStatus,355927
app-uk.hungrypanda.co,POST,/api/app/user/popup/redpacket,352926
app-uk.hungrypanda.co,GET,/api/user/center,323501
app-uk.hungrypanda.co,POST,/api/app/user/payment/v2/query/config,305493
app-uk.hungrypanda.co,GET,/api/user/balance,299007
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/orderDetail,268619
